"Lake","Group","Genus","2013-10"
"Independence","Cladocerans","Bosmina",6.3
"Independence","Cladocerans","Daphnia",45.8
"Independence","Copepods","Diacyclops",47.9
"Tahoe","Cladocerans","Bosmina",1.2
"Tahoe","Cladocerans","Daphnia",0.3
"Tahoe","Copepods","Epischura",21.9
"Tahoe","Copepods","Leptodiaptomus",55.9
"Tahoe","Copepods","Unk. Cope.",20.3
