Process_ID, Interval, Layer, Sv_mean, NASC, Height_mean, Depth_mean, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Noise_Sv_1m, Minimum_Sv_threshold_applied, Maximum_Sv_threshold_applied, Standard_deviation, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean
500, 23052866, 2, -72.844222, 2.247799, 1.003894, 1.481939, 1.000000, 2.000000, 0, 52, 0.036980, 20131030, 22:25:33.89, 37.97846000, -119.87616333, -999.000000, 0, 0, 0.00000005949828, 1.003894, 1.481939, 6.096236, -9999.000000
500, 23052866, 3, -73.572858, 1.900614, 1.003894, 2.485833, 2.000000, 3.000000, 0, 52, 0.036980, 20131030, 22:25:33.89, 37.97846000, -119.87616333, -999.000000, 0, 0, 0.00000003087790, 1.003894, 2.485833, 6.096236, -9999.000000
500, 23052866, 4, -73.641672, 1.870736, 1.003894, 3.489727, 3.000000, 4.000000, 0, 52, 0.036980, 20131030, 22:25:33.89, 37.97846000, -119.87616333, -999.000000, 0, 0, 0.00000003571452, 1.003894, 3.489727, 6.096236, -9999.000000
500, 23052866, 5, -73.252237, 2.046237, 1.003894, 4.493621, 4.000000, 5.000000, 0, 52, 0.036980, 20131030, 22:25:33.89, 37.97846000, -119.87616333, -999.000000, 0, 0, 0.00000003408384, 1.003894, 4.493621, 6.096236, -9999.000000
500, 23052866, 6, -72.630756, 1.868895, 0.794637, 5.449494, 5.000000, 6.000000, 0, 52, 0.036980, 20131030, 22:25:33.89, 37.97846000, -119.87616333, -999.000000, 0, 0, 0.00000003895776, 0.794637, 5.449494, 6.096236, -9999.000000
500, 23052866, 7, -70.109694, 1.281244, 0.304866, 6.336781, 6.000000, 7.000000, 0, 52, 0.036980, 20131030, 22:25:33.89, 37.97846000, -119.87616333, -999.000000, 0, 0, 0.00000000000000, 0.304866, 6.336781, 6.096236, -9999.000000
500, 23052867, 2, -72.263870, 2.569169, 1.003894, 1.481939, 1.000000, 2.000000, 53, 112, 0.117305, 20131030, 22:26:29.89, 37.97898494, -119.87460849, -999.000000, 0, 0, 0.00000005403337, 1.003894, 1.481939, 4.743868, -9999.000000
500, 23052867, 3, -73.368479, 1.992195, 1.003894, 2.485833, 2.000000, 3.000000, 53, 112, 0.117305, 20131030, 22:26:29.89, 37.97898494, -119.87460849, -999.000000, 0, 0, 0.00000003668125, 1.003894, 2.485833, 4.743868, -9999.000000
500, 23052867, 4, -73.406067, 1.917030, 0.974415, 3.480072, 3.000000, 4.000000, 53, 112, 0.117305, 20131030, 22:26:29.89, 37.97898494, -119.87460849, -999.000000, 0, 0, 0.00000003848650, 0.974415, 3.480072, 4.743868, -9999.000000
500, 23052867, 5, -72.457188, 1.646012, 0.672450, 4.433582, 4.000000, 5.000000, 53, 112, 0.117305, 20131030, 22:26:29.89, 37.97898494, -119.87460849, -999.000000, 0, 0, 0.00000004863030, 0.672450, 4.433582, 4.743868, -9999.000000
500, 23052868, 2, -71.841198, 2.831783, 1.003894, 1.481939, 1.000000, 2.000000, 113, 172, 0.207357, 20131030, 22:27:29.89, 37.97959811, -119.87287559, -999.000000, 0, 0, 0.00000005769046, 1.003894, 1.481939, 4.598922, -9999.000000
500, 23052868, 3, -72.408434, 2.485057, 1.003894, 2.485833, 2.000000, 3.000000, 113, 172, 0.207357, 20131030, 22:27:29.89, 37.97959811, -119.87287559, -999.000000, 0, 0, 0.00000004783795, 1.003894, 2.485833, 4.598922, -9999.000000
500, 23052868, 4, -72.578450, 2.389652, 1.003894, 3.489727, 3.000000, 4.000000, 113, 172, 0.207357, 20131030, 22:27:29.89, 37.97959811, -119.87287559, -999.000000, 0, 0, 0.00000004548162, 1.003894, 3.489727, 4.598922, -9999.000000
500, 23052869, 2, -73.156698, 2.091751, 1.003894, 1.481939, 1.000000, 2.000000, 173, 232, 0.294176, 20131030, 22:28:29.89, 37.98010813, -119.87116062, -999.000000, 0, 0, 0.00000004453731, 1.003894, 1.481939, 4.437007, -9999.000000
500, 23052869, 3, -72.337363, 2.526059, 1.003894, 2.485833, 2.000000, 3.000000, 173, 232, 0.294176, 20131030, 22:28:29.89, 37.98010813, -119.87116062, -999.000000, 0, 0, 0.00000005070566, 1.003894, 2.485833, 4.437007, -9999.000000
500, 23052869, 4, -71.776319, 2.874404, 1.003894, 3.489727, 3.000000, 4.000000, 173, 232, 0.294176, 20131030, 22:28:29.89, 37.98010813, -119.87116062, -999.000000, 0, 0, 0.00000004385174, 1.003894, 3.489727, 4.437007, -9999.000000
500, 23052870, 2, -72.485899, 2.441124, 1.003894, 1.481939, 1.000000, 2.000000, 233, 292, 0.381059, 20131030, 22:29:29.89, 37.98069979, -119.86948893, -999.000000, 0, 0, 0.00000006642673, 1.003894, 1.481939, 3.747076, -9999.000000
500, 23052870, 3, -72.625773, 2.298095, 0.976008, 2.480643, 2.000000, 3.000000, 233, 292, 0.381059, 20131030, 22:29:29.89, 37.98069979, -119.86948893, -999.000000, 0, 0, 0.00000005104575, 0.976008, 2.480643, 3.747076, -9999.000000
500, 23052870, 4, -73.070441, 1.649393, 0.776026, 3.417333, 3.000000, 4.000000, 233, 292, 0.381059, 20131030, 22:29:29.89, 37.98069979, -119.86948893, -999.000000, 0, 0, 0.00000001583614, 0.776026, 3.417333, 3.747076, -9999.000000
500, 23052871, 2, -70.428967, 3.919973, 1.003894, 1.481939, 1.000000, 2.000000, 293, 352, 0.470869, 20131030, 22:30:29.89, 37.98144795, -119.86785712, -999.000000, 0, 0, 0.00000014265400, 1.003894, 1.481939, 3.901771, -9999.000000
500, 23052871, 3, -71.982460, 2.591045, 0.948919, 2.476360, 2.000000, 3.000000, 293, 352, 0.470869, 20131030, 22:30:29.89, 37.98144795, -119.86785712, -999.000000, 0, 0, 0.00000006534961, 0.948919, 2.476360, 3.901771, -9999.000000
500, 23052871, 4, -73.168008, 1.707132, 0.821440, 3.453143, 3.000000, 4.000000, 293, 352, 0.470869, 20131030, 22:30:29.89, 37.98144795, -119.86785712, -999.000000, 0, 0, 0.00000002860984, 0.821440, 3.453143, 3.901771, -9999.000000
500, 23052872, 2, -72.950348, 2.071674, 0.948122, 1.467879, 1.000000, 2.000000, 353, 412, 0.558929, 20131030, 22:31:29.89, 37.98215140, -119.86627394, -999.000000, 0, 0, 0.00000005532307, 0.948122, 1.467879, 3.583606, -9999.000000
500, 23052872, 3, -74.271263, 1.326732, 0.823034, 2.476670, 2.000000, 3.000000, 353, 412, 0.558929, 20131030, 22:31:29.89, 37.98215140, -119.86627394, -999.000000, 0, 0, 0.00000003158135, 0.823034, 2.476670, 3.583606, -9999.000000
500, 23052872, 4, -74.148875, 1.137431, 0.685994, 3.458746, 3.000000, 4.000000, 353, 412, 0.558929, 20131030, 22:31:29.89, 37.98215140, -119.86627394, -999.000000, 0, 0, 0.00000003071459, 0.685994, 3.458746, 3.583606, -9999.000000
500, 23052873, 2, -72.348821, 2.519403, 1.003894, 1.481939, 1.000000, 2.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000003947158, 1.003894, 1.481939, 6.651326, -9999.000000
500, 23052873, 3, -73.954606, 1.740681, 1.003894, 2.485833, 2.000000, 3.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000002867689, 1.003894, 2.485833, 6.651326, -9999.000000
500, 23052873, 4, -74.786653, 1.437191, 1.003894, 3.489727, 3.000000, 4.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000003088556, 1.003894, 3.489727, 6.651326, -9999.000000
500, 23052873, 5, -74.026317, 1.588517, 0.931391, 4.474238, 4.000000, 5.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000002891140, 0.931391, 4.474238, 6.651326, -9999.000000
500, 23052873, 6, -73.643050, 1.430807, 0.768059, 5.490821, 5.000000, 6.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000002683235, 0.768059, 5.490821, 6.651326, -9999.000000
500, 23052873, 7, -73.324612, 1.218632, 0.607914, 6.458053, 6.000000, 7.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000003378888, 0.607914, 6.458053, 6.651326, -9999.000000
500, 23052873, 8, -73.804232, 0.457653, 0.254957, 7.443008, 7.000000, 8.000000, 413, 472, 0.648173, 20131030, 22:32:29.89, 37.98315792, -119.86489378, -999.000000, 0, 0, 0.00000002790623, 0.254957, 7.443008, 6.651326, -9999.000000
500, 23052874, 2, -71.378043, 3.150471, 1.003894, 1.481939, 1.000000, 2.000000, 473, 532, 0.735423, 20131030, 22:33:29.89, 37.98407500, -119.86347500, -999.000000, 0, 0, 0.00000006500118, 1.003894, 1.481939, 13.529180, -9999.000000
500, 23052874, 3, -73.300797, 2.023485, 1.003894, 2.485833, 2.000000, 3.000000, 473, 532, 0.735423, 20131030, 22:33:29.89, 37.98407500, -119.86347500, -999.000000, 0, 0, 0.00000005301181, 1.003894, 2.485833, 13.529180, -9999.000000
