Process_ID, Interval, Layer, Sv_mean, NASC, Height_mean, Depth_mean, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Noise_Sv_1m, Minimum_Sv_threshold_applied, Maximum_Sv_threshold_applied, Standard_deviation, Thickness_mean, Range_mean, Exclude_below_line_range_mean, Exclude_above_line_range_mean
1452, 23395362, 2, -57.555246, 75.265896, 0.994560, 1.515520, 1.000000, 2.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000115714954, 0.994560, 1.515520, 37.567322, 1.000000
1452, 23395362, 3, -60.007223, 42.795740, 0.994560, 2.510080, 2.000000, 3.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000061171547, 0.994560, 2.510080, 37.567322, 1.000000
1452, 23395362, 4, -64.451430, 15.380831, 0.994560, 3.504640, 3.000000, 4.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000021293768, 0.994560, 3.504640, 37.567322, 1.000000
1452, 23395362, 5, -64.343359, 15.768373, 0.994560, 4.499200, 4.000000, 5.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000019781030, 0.994560, 4.499200, 37.567322, 1.000000
1452, 23395362, 6, -64.960021, 13.681089, 0.994560, 5.493760, 5.000000, 6.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000019584072, 0.994560, 5.493760, 37.567322, 1.000000
1452, 23395362, 7, -68.202175, 6.484931, 0.994560, 6.488320, 6.000000, 7.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000009803526, 0.994560, 6.488320, 37.567322, 1.000000
1452, 23395362, 8, -70.801361, 3.564402, 0.994560, 7.482880, 7.000000, 8.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000005111063, 0.994560, 7.482880, 37.567322, 1.000000
1452, 23395362, 9, -72.280445, 2.656328, 1.041920, 8.501120, 8.000000, 9.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000003683304, 1.041920, 8.501120, 37.567322, 1.000000
1452, 23395362, 10, -74.268493, 1.604255, 0.994560, 9.519360, 9.000000, 10.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000002547437, 0.994560, 9.519360, 37.567322, 1.000000
1452, 23395362, 11, -75.034541, 1.344834, 0.994560, 10.513920, 10.000000, 11.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000001909423, 0.994560, 10.513920, 37.567322, 1.000000
1452, 23395362, 12, -75.917921, 1.097314, 0.994560, 11.508480, 11.000000, 12.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000001597327, 0.994560, 11.508480, 37.567322, 1.000000
1452, 23395362, 13, -77.070405, 0.841555, 0.994560, 12.503040, 12.000000, 13.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000001177115, 0.994560, 12.503040, 37.567322, 1.000000
1452, 23395362, 14, -77.557939, 0.752192, 0.994560, 13.497600, 13.000000, 14.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000001172643, 0.994560, 13.497600, 37.567322, 1.000000
1452, 23395362, 15, -67.093550, 8.370817, 0.994560, 14.492160, 14.000000, 15.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000175725057, 0.994560, 14.492160, 37.567322, 1.000000
1452, 23395362, 16, -78.963938, 0.544163, 0.994560, 15.486720, 15.000000, 16.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000000733583, 0.994560, 15.486720, 37.567322, 1.000000
1452, 23395362, 17, -79.774003, 0.451567, 0.994560, 16.481280, 16.000000, 17.000000, 0, 109, 0.004650, 20140625, 18:41:32.13, 37.98813907, -119.85718185, -999.000000, 0, 0, 0.00000000659130, 0.994560, 16.481280, 37.567322, 1.000000
